source,timestamp,metric_type,metric_name,partner,time_window,bucket_interval,perc50,perc95,perc99,perc99_9,perc99_99,volume,uniq_stbs,stack,count_gt_1000,count_gt_1500,count_gt_2000,count_gt_2500
xre,2017-03-20 06:45:00,ecm,VoiceSearchDisambiguation,comcast,reboot,15m_bucket,0,1,12,12,12,68,58,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,ListRowEntityInfo,comcast,reboot,15m_bucket,143,763,1050,1483,1513,1295,848,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,OnDemandGalleryRow,comcast,reboot,15m_bucket,43,409,802,1208,2271,28556,4365,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,MiniEntityInfo,comcast,reboot,15m_bucket,16,211,343,573,678,4427,3470,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,Browse,comcast,reboot,15m_bucket,99,766,1817,2192,2192,619,439,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,MiniEntityInfo,comcast,reboot,15m_bucket,15,226,406,697,753,3686,2881,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,ChannelGridPanel,comcast,reboot,15m_bucket,5,41,133,322,541,413263,19381,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,GalleryRow,comcast,reboot,15m_bucket,38,282,674,1961,3502,18227,4118,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,ActionBar,comcast,reboot,15m_bucket,0,18,45,269,488,27684,9654,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,EntityInfo,comcast,reboot,15m_bucket,168,695,978,2100,2865,5010,2496,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,TabBar,comcast,reboot,15m_bucket,0,0,0,0,0,10,10,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,ShuffleGalleryRow,comcast,reboot,15m_bucket,105,426,703,1259,1466,1774,1036,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,ListRowEntityInfo,comcast,reboot,15m_bucket,144,767,999,1428,2269,1572,1095,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,X1AppsGalleryRow,comcast,reboot,15m_bucket,8,20,33,159,159,718,134,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,VoiceSearchDisambiguation,comcast,reboot,15m_bucket,0,1,5,6,6,108,92,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,VoiceSearchDisambiguation,comcast,reboot,15m_bucket,0,1,1,1,1,86,75,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,KidsListings,comcast,reboot,15m_bucket,151,151,151,151,151,1,1,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,ActionBar,comcast,reboot,15m_bucket,0,18,44,251,383,23108,8341,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,MiniEntityInfo,comcast,reboot,15m_bucket,17,236,390,657,806,2844,2209,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,OnDemandGalleryRow,comcast,reboot,15m_bucket,43,379,761,1288,2236,17573,2644,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,TabBar,comcast,reboot,15m_bucket,0,0,0,0,0,7,7,c6fp,0,0,0,0
xre,2017-03-20 06:00:00,ecm,ChannelGridPanel,comcast,reboot,15m_bucket,5,35,108,346,594,2577108,277676,c6fp,0,0,0,0
